OID_,GEOID10,ZONE_CODE,COUNT,AREA,MEAN
238,06067009109,238,1958.000000000000000,1762200.000000000000000,-0.194012446540186
239,06067009008,239,1775.000000000000000,1597500.000000000000000,-0.176997163904779
240,06067008505,240,1366.000000000000000,1229400.000000000000000,-0.221741083731240
241,06067007433,241,2902.000000000000000,2611800.000000000000000,-0.182919803858548
242,06067007432,242,1241.000000000000000,1116900.000000000000000,-0.184273964362962
243,06067007431,243,1269.000000000000000,1142100.000000000000000,-0.193200231477665
244,06067007430,244,2119.000000000000000,1907100.000000000000000,-0.181414464951869
245,06067007429,245,1115.000000000000000,1003500.000000000000000,-0.182118802786608
246,06067007427,246,2190.000000000000000,1971000.000000000000000,-0.210074433934403
247,06067002200,247,3033.000000000000000,2729700.000000000000000,-0.201018060350670
248,06067002100,248,1714.000000000000000,1542600.000000000000000,-0.158701516301964
249,06067002000,249,1147.000000000000000,1032300.000000000000000,-0.170177684642769
250,06067001900,250,1228.000000000000000,1105200.000000000000000,-0.154616709757241
251,06067001800,251,1910.000000000000000,1719000.000000000000000,-0.200706074862736
252,06067001700,252,3916.000000000000000,3524400.000000000000000,-0.186047828615718
253,06067001600,253,3386.000000000000000,3047400.000000000000000,-0.215749147567597
254,06067004010,254,1833.000000000000000,1649700.000000000000000,-0.207103704307096
255,06067009007,255,1105.000000000000000,994500.000000000000000,-0.163205220876893
256,06067009005,256,17488.000000000000000,15739200.000000000000000,-0.212240050013085
257,06067009403,257,94374.000000000000000,84936600.000000000000000,-0.299263124350694
258,06067009619,258,3560.000000000000000,3204000.000000000000000,-0.197695555454991
259,06067009504,259,2375.000000000000000,2137500.000000000000000,-0.204467134523549
260,06067009503,260,4208.000000000000000,3787200.000000000000000,-0.194941396253313
261,06067009502,261,11556.000000000000000,10400400.000000000000000,-0.254381830720799
262,06067003203,262,1099.000000000000000,989100.000000000000000,-0.200336731283894
263,06067007426,263,968.000000000000000,871200.000000000000000,-0.258560909100709
264,06067007105,264,2258.000000000000000,2032200.000000000000000,-0.193427437631598
265,06067007104,265,2478.000000000000000,2230200.000000000000000,-0.195889225355902
266,06067007103,266,2428.000000000000000,2185200.000000000000000,-0.201796077864430
267,06067007101,267,84692.000000000000000,76222800.000000000000000,-0.169962174509664
268,06067007019,268,6507.000000000000000,5856300.000000000000000,-0.112575978264004
269,06067007018,269,5370.000000000000000,4833000.000000000000000,-0.143708580957155
270,06067005903,270,725.000000000000000,652500.000000000000000,-0.211628403314229
271,06067005509,271,352.000000000000000,316800.000000000000000,-0.144956574997526
272,06067001500,272,1942.000000000000000,1747800.000000000000000,-0.212623341667948
273,06067001400,273,883.000000000000000,794700.000000000000000,-0.178717532234176
274,06067001300,274,881.000000000000000,792900.000000000000000,-0.155685346850557
